قال،وقال،فقال،يقول،قلت،يقال،ويقال،قالوا،قيل،تقول،قالت،فقلت،وقيل،قل،فقالت،فقالوا،قالا،وقالوا،فيقول،يقولون،قلنا،فقيل،قاله،وتقول،ويقول،أقول،وقالت،فيقال،وقلت،ويقولون،يقل،نقول،فقلنا،وقل،فتقول،فيقولون،يقولوا،فقالا،تقولوا،يقوله	1837659
من،منه،ومن،منها،منهم،مما،فمن،لمن،ممن،ومنه،منكم،منهما،منك،ومنهم،منا،ومما،ومنها،بمن،منهن،مني،وممن،فمنهم،كمن،فيمن،ولمن،فمنها،المن،ومنا،فمما،ومنكم،منى،منكن،فمنه،منكما،منة،فممن،ومنك،مم،وبمن،ومنهن	1470826
في،فيه،فيها،وفي،فى،فيهم،وفيه،وفى،وفيها،فيهما،ففي،فيك،فيكم،فينا،ففيه،ففيها،فيهن،وفيهم،فيم،وفيهما،وفينا،ففيم،ففيهما،وفيكم،ففى،وفيك،فيكما،وفيهن،ففيهم،وفيم،فية،فيهآ،فيكن،ففيك،ففيهن،ففينا،فيهمآ،ففيكم،ففية،وفيكن	1311866
بن،بني،بنو،لبني،وبنو،بنى،لبن،لبنها،ببني،البنين،لبنى،بنوه،بنيه،ولبن،بنون،وبني،وبنين،وبن،بنيك،لبنة،لبنه،لبنيه،بنة،البنون،والبنين،وبنوه،فبنو،وبنى،فبنى،بنيها،بنوها،ولبني،وبنيه،البني،ببنى،ولبنها،بنيهم،والبنون،كبن،ببن	1142678
على،عليه،علي،عليهم،عليها،وعلى،عليك،عليكم،علينا،وعليه،عليهما،فعليه،وعلي،فعلى،عليهن،وعليها،وعليك،وعليهم،فعليك،وعليكم،علية،عليكما،فعليهم،فعليكم،فعليها،وعلينا،علاه،فعلي،علاها،فعلام،وعليهما،فعليهن،عليكن،علاك،تعلى،فعلين،وعليا،فعليهما،فعلينا،وعلام	964853
عن،عنه،عنها،عنهم،وعن،عنهما،عما،عني،عنك،عنا،عمن،عنكم،عنى،وعنه،عنهن،لعن،فعن،وعما،وعم،وعنى،فعم،وعني،عنكما،وعنهم،وعنها،وعمن،يعن،تعن،وعنك،عنة،وعنا،وعنكم،عنكن،فعنه،وعنهما،فعنى،عننا،لاعن،وعننت،وعنة	887161
الله،والله،لله،بالله،فوالله،ولله،فالله،وبالله،تالله،فلله،ووالله،آلله،ألله،فبالله،اللة،إلله،كالله،اللهه،والأللة،اللههم،واللة،ألالله،ولالله	873567
أن،أنه،لأن،لأنه،إني،وأن،ان،أنها،أنهم،بأن،فلان،إنه،لأنها،أني،أنك،فإني،وأنه،ألا،انه،لأنهم،وإني،إنك،أنهما،لأنك،بأنه،فلانا،وان،إنها،وإنه،إنهم،لان،أنى،لأنهما،ولأن،بان،أنكم،وأنهم،لأني،وأنها،أنني	832213
كان،وكان،يكون،كانت،يكن،كنت،تكون،كانوا،فكان،وكانت،كأن،كنا،ويكون،تكن،كنتم،وكانوا،لكان،وكنت،فكانت،كانا،يكونوا،وتكون،فيكون،وكأن،فتكون،أكون،ليكون،فكانوا،وكنا،فكنت،كن،أكن،فكأن،كانتا،يكونا،تكونوا،أكان،وكانا،وليكن،كونوا	634571
ما،وما،كما،لما،بما،فما،فيما،وبما،ولما،وكما،بم،فبما،فبم،مآ،ومآ،وبم،بمآ،تما،كمآ،مأ،ومأ،فمآ،لمآ،كمأ،لمأ،فبمآ،بمإ	600788
